day,mo,yr,time,time2,bison_1_tempC,bison_1_percRH,bison_2_tempC,bison_2_percRH,bison_3_tempC,bison_3_percRH,cattle_1_tempC,cattle_1_percRH,cattle_2_tempC,cattle_2_percRH,cattle_3_tempC,cattle_3_percRH,ungrazed_1_tempC,ungrazed_1_percRH,ungrazed_2_tempC,ungrazed_2_percRH,ungrazed_3_tempC,ungrazed_3_percRH,trtpd_1_tempC,trtpd_1_percRH,trtpd_2_tempC,trtpd_2_percRH,trtpd_3_tempC,trtpd_3_percRH,untrtpd_1_tempC,untrtpd_1_percRH,untrtpd_2_tempC,untrtpd_2_percRH,untrtpd_3_tempC,untrtpd_3_percRH
14,6,2022,23,11pm,11.387,63.712,10.572,69.206,9.929,71.258,9.929,65.47,8.813,78.095,NA,NA,11.044,61.954,10.1,63.37,NA,NA,9.543,79.145,11.387,61.905,NA,NA,10.358,72.015,9.843,73.748,9.671,76.679
15,6,2022,5,5am,16.535,59.267,11.301,95.36,11.859,93.407,11.259,84.42,10.486,96.606,NA,NA,16.106,55.433,13.189,65.69,NA,NA,14.219,69.866,15.034,65.079,NA,NA,11.516,98.803,11.516,97.753,11.516,99.536
15,6,2022,11,11am,17.779,60.269,16.75,64.444,19.324,52.674,15.549,67.375,15.72,68.181,NA,NA,17.093,62.93,16.063,68.254,NA,NA,16.492,65.714,17.007,62.784,NA,NA,16.836,66.154,17.608,62.222,19.624,55.36
15,6,2022,17,5pm,12.503,72.723,12.546,75.946,12.288,72.063,12.631,69.328,12.803,68.645,NA,NA,12.46,68.816,12.717,66.691,NA,NA,14.133,63.15,13.146,69.524,NA,NA,12.031,79.609,12.331,74.164,12.717,70.208
15,6,2022,23,11pm,11.259,82.808,11.859,85.47,10.83,83.59,7.655,93.089,11.859,79.219,NA,NA,8.513,91.551,9.028,86.886,NA,NA,8.985,87.497,10.272,86.398,NA,NA,11.43,88.278,10.057,89.451,10.443,87.399
16,6,2022,5,5am,29.749,27.473,33.695,28.767,33.91,23.761,23.914,40.781,26.016,34.652,NA,NA,32.966,25.324,36.999,21.514,NA,NA,33.481,23.101,37.599,20.537,NA,NA,32.323,34.261,28.633,36.825,35.969,20.635
16,6,2022,11,11am,32.065,22.051,28.419,34.017,28.976,26.3,33.61,20.293,41.847,15.238,NA,NA,30.778,28.23,32.408,24.615,NA,NA,31.722,20.684,35.883,19.267,NA,NA,32.022,25.934,31.636,25.47,28.161,29.06
16,6,2022,17,5pm,10.186,81.172,10.401,83.81,13.618,72.845,16.192,62.393,12.631,75.849,NA,NA,17.222,58.95,13.489,71.6,NA,NA,15.034,62.149,17.179,58.803,14.262,68.107,9.929,92.43,14.219,71.038,12.674,79.17
16,6,2022,23,11pm,17.05,67.595,11.73,100,8.899,99.731,16.364,66.398,9.328,100,NA,NA,17.393,63.81,16.364,65.47,NA,NA,13.361,77.143,16.192,69.573,12.932,80.44,11.816,97.363,10.486,91.355,15.763,73.358
17,6,2022,5,5am,38.286,21.832,35.883,28.571,36.613,27.155,30.092,34.75,33.181,30.305,NA,NA,34.296,28.987,36.012,26.007,NA,NA,33.524,27.228,38.929,20.977,33.996,29.719,34.124,28.278,34.21,30.183,35.583,25.568
17,6,2022,11,11am,41.117,15.189,37.428,22.735,35.068,24.908,32.966,23.883,46.265,16.288,NA,NA,33.867,26.593,31.937,28.816,NA,NA,33.653,24.664,44.635,13.651,33.438,28.425,40.088,18.364,37.085,22.637,35.54,23.053
17,6,2022,17,5pm,27.947,42.589,25.03,56.361,24.858,53.7,28.891,39.731,25.373,57.167,27.303,50.916,28.247,46.447,26.831,47.619,26.059,65.763,28.762,46.716,27.475,44.274,27.904,48.205,25.03,56.459,23.228,60.464,24.386,59.341
17,6,2022,23,11pm,21.598,61.148,16.063,79.56,18.509,59.805,20.997,61.954,18.766,56.532,19.109,50.549,18.809,71.184,19.195,67.399,16.321,100,15.72,75.8,18.852,72.308,15.463,80.073,17.822,74.945,19.281,59.853,21.211,54.286
18,6,2022,5,5am,30.435,40.757,35.369,33.309,39.101,29.963,28.676,45.25,28.247,45.958,30.95,40.122,35.025,30.379,35.454,29.255,29.148,45.885,32.709,35.946,31.508,39.756,33.653,35.189,35.841,32.576,33.524,42.295,41.031,26.227
18,6,2022,11,11am,35.969,24.737,37.642,25.446,32.494,34.701,38.286,23.15,38.157,23.639,34.339,30.037,35.583,28.742,42.061,22.759,37.428,26.764,35.626,26.252,40.302,19.658,36.355,27.253,40.131,22.051,37.385,27.668,33.996,31.722
18,6,2022,17,5pm,16.793,99.17,16.921,99.805,16.192,100,21.769,65.201,16.664,98.755,16.793,97.753,18.337,93.089,21.211,69.768,21.726,72.869,21.941,66.471,16.621,100,18.08,95.653,16.921,100,16.707,99.731,16.75,99.853
18,6,2022,23,11pm,16.664,100,16.149,100,15.806,100,16.106,98.608,15.763,100,16.063,100,17.093,100,16.106,100,16.492,100,16.621,100,16.492,100,16.964,100,16.192,100,16.192,100,16.106,100
19,6,2022,5,5am,19.796,92.161,18.981,100,18.552,100,16.364,100,16.492,100,17.779,95.726,17.779,100,16.879,100,17.608,100,17.136,97.827,19.238,98.926,17.737,98.364,19.624,94.115,18.208,100,17.822,100
19,6,2022,11,11am,15.849,100,15.592,100,16.106,100,15.849,99.585,14.905,100,14.562,100,18.981,97.241,16.492,100,16.707,95.116,17.522,96.63,16.063,100,18.123,100,15.592,100,15.806,100,15.592,100
19,6,2022,17,5pm,14.819,100,13.79,100,13.017,100,14.219,100,13.661,100,13.876,100,14.605,100,14.39,100,14.862,99.634,15.248,100,14.562,100,15.205,100,13.446,100,14.347,100,13.833,100
19,6,2022,23,11pm,11.816,100,11.387,100,11.344,100,11.816,100,10.83,100,11.859,100,12.031,100,11.688,100,11.173,100,12.031,100,11.773,100,12.245,100,11.945,100,11.645,100,11.473,100
20,6,2022,5,5am,31.894,38.974,25.115,53.944,29.877,37.729,22.627,59.683,24.043,54.945,24.129,50.891,30.178,51.624,30.306,53.919,27.046,42.271,29.148,42.051,28.547,40.684,26.402,54.847,27.861,49.524,23.185,62.808,27.947,37.973
20,6,2022,11,11am,27.003,40.977,23.657,42.125,22.327,41.001,22.327,46.935,28.161,30.305,23.957,38.437,25.673,42.149,27.604,36.166,25.845,39.487,24.472,45.763,26.445,37.973,25.63,41.148,29.448,29.988,24.3,45.299,22.498,40.024
20,6,2022,17,5pm,12.117,82.125,10.572,88.034,10.443,87.863,11.559,78.046,11.387,79.805,11.173,80.952,11.559,79.121,11.173,78.168,12.889,77.143,12.288,77.534,12.288,79.048,12.46,76.484,10.358,90.061,10.83,87.839,10.872,86.886
20,6,2022,23,11pm,12.503,100,12.717,93.944,12.546,91.404,11.559,99.951,11.688,99.194,11.173,98.803,11.988,100,11.559,99.707,13.532,86.52,12.245,99.951,12.159,100,12.46,100,12.245,100,12.074,99.805,12.631,92.357
21,6,2022,5,5am,21.812,54.628,27.604,37.875,24.386,39.731,17.822,72.869,20.525,58.877,19.453,60.024,18.509,66.569,26.102,45.592,22.413,55.922,19.581,66.178,22.327,55.702,17.737,73.455,28.976,44.396,21.64,49.695,25.115,38.608
21,6,2022,11,11am,28.462,40.171,29.062,32.063,30.607,31.722,27.904,31.746,29.491,31.111,28.29,32.479,25.587,43.419,33.695,29.817,27.818,29.109,26.96,36.703,31.894,29.475,26.66,36.899,34.854,28.791,30.821,31.209,27.218,36.044
21,6,2022,17,5pm,14.004,84.42,11.473,94.139,9.328,98.071,15.334,69.206,12.975,87.912,14.991,72.503,13.961,79.145,14.648,71.087,14.09,79.267,12.889,95.946,13.232,86.325,14.047,86.52,12.288,89.353,11.344,99.145,10.1,99.145
21,6,2022,23,11pm,13.189,81.636,12.932,80.733,12.374,82.418,12.588,70.037,10.229,88.791,11.516,80.098,8.513,99.829,12.46,72.039,10.615,89.695,9.886,96.264,11.344,89.744,9.886,95.092,13.575,77.021,15.248,73.822,16.106,63.81
22,6,2022,5,5am,36.184,29.597,30.821,24.664,34.339,21.612,31.079,30.672,27.175,32.186,28.848,27.546,35.154,28.181,36.098,21.245,31.937,27.204,34.811,21.441,34.94,23.663,31.55,33.138,31.465,24.957,29.234,30.501,34.425,18.852
22,6,2022,11,11am,32.709,23.541,34.768,22.369,33.181,22.222,34.253,22.662,36.956,18.803,33.695,20.464,33.781,24.835,35.326,19.267,32.58,23.761,33.395,20.757,40.131,18.706,34.468,21.612,40.388,21.074,34.682,27.57,33.653,19.341
22,6,2022,17,5pm,13.06,93.626,16.707,72.357,14.605,87.179,20.225,45.836,14.734,81.221,18.037,56.435,12.889,92.796,16.793,56.313,16.063,74.75,15.377,87.155,14.948,75.336,13.833,96.337,12.417,100,16.621,82.564,15.034,89.67
22,6,2022,23,11pm,13.404,89.963,9.929,100,13.232,88.913,12.503,81.416,10.443,91.233,15.291,58.339,11.387,99.121,12.846,80.83,9.199,100,10.272,98.95,12.031,94.09,10.315,99.878,9.886,100,13.232,92.527,16.578,71.917
23,6,2022,5,5am,37.728,22.564,40.259,18.755,38.929,18.242,35.755,22.173,31.679,31.111,33.481,21.074,36.913,33.773,39.187,21.294,34.639,27.643,35.755,25.641,42.276,18.462,40.088,26.789,52.443,18.535,33.61,31.575,38.844,16.972
23,6,2022,11,11am,21.469,97.411,39.401,21.27,30.735,45.275,26.488,54.09,37.299,23.98,29.191,45.324,26.102,56.215,31.593,36.068,34.639,25.617,25.373,56.459,23.957,68.278,25.587,65.641,42.361,20.391,27.689,69.573,27.561,49.353
23,6,2022,17,5pm,14.519,100,14.648,100,13.661,95.824,16.621,85.885,14.691,93.846,16.793,63.663,16.063,98.779,16.407,83.199,17.908,68.01,18.723,71.6,14.691,98.901,17.694,87.277,15.248,100,15.592,99.976,15.334,95.849
23,6,2022,23,11pm,11.859,98.046,9.929,98.388,11.216,72.552,11.73,88.767,11.216,86.545,13.017,54.237,11.902,100,11.559,96.874,9.457,77.192,12.588,87.35,12.031,95.043,12.46,90.403,10.83,100,11.73,74.799,11.988,64.811
24,6,2022,5,5am,21.512,44.249,29.234,26.105,25.33,28.84,20.997,45.739,20.525,39.194,22.198,32.015,20.654,56.41,23.056,48.913,22.541,40.244,20.568,55.458,21.34,48.303,19.066,60.757,31.937,41.856,23.185,43.004,22.67,31.526
24,6,2022,11,11am,19.066,42.247,24.172,26.642,19.109,36.63,28.247,28.352,20.096,35.36,19.41,35.653,25.459,39.878,29.277,27.79,22.799,28.059,23.013,37.949,18.68,44.444,28.161,30.305,26.317,28.864,19.924,37.753,19.152,37.216
24,6,2022,17,5pm,10.615,76.801,10.872,74.799,10.143,73.309,10.186,78.315,10.143,78.486,11.301,63.565,11.001,76.337,10.272,75.726,12.932,61.294,11.602,72.625,10.872,75.433,11.173,77.265,10.443,80.928,11.13,69.206,11.087,66.252
24,6,2022,23,11pm,10.787,76.361,9.671,76.386,11.087,65.421,7.998,83.98,8.985,75.214,7.312,80.44,7.44,91.38,7.398,85.348,8.813,80.928,8.513,80.293,8.813,82.784,7.955,87.155,8.556,85.617,10.401,70.769,12.546,59.365
