day,mo,yr,time,time2,bison_1_tempC,bison_1_percRH,bison_2_tempC,bison_2_percRH,bison_3_tempC,bison_3_percRH,cattle_1_tempC,cattle_1_percRH,cattle_2_tempC,cattle_2_percRH,cattle_3_tempC,cattle_3_percRH,ungrazed_1_tempC,ungrazed_1_percRH,ungrazed_2_tempC,ungrazed_2_percRH,ungrazed_3_tempC,ungrazed_3_percRH,trtpd_1_tempC,trtpd_1_percRH,trtpd_2_tempC,trtpd_2_percRH,trtpd_3_tempC,trtpd_3_percRH,untrtpd_1_tempC,untrtpd_1_percRH,untrtpd_2_tempC,untrtpd_2_percRH,untrtpd_3_tempC,untrtpd_3_percRH
2,7,2022,11,11am,34.982,21.416,39.53,16.044,34.382,21.245,38.844,19.878,42.533,13.309,35.841,18.95,36.012,25.665,39.83,16.093,36.57,18.779,35.24,21.538,38.929,16.508,37.17,22.686,38.157,17.363,41.246,15.922,35.626,21.026
2,7,2022,17,5pm,19.495,63.98,16.278,74.042,13.532,85.446,20.096,58.974,15.12,79.096,19.796,57.778,19.109,63.199,19.967,58.632,19.066,60.464,19.967,59.096,19.367,62.979,18.123,68.425,17.265,69.841,18.895,59.389,17.651,68.4
2,7,2022,23,11pm,17.35,82.393,15.978,92.698,16.364,81.832,14.004,99.756,13.575,100,15.12,86.129,14.562,100,14.347,91.795,15.592,84.664,15.592,85.788,16.964,83.834,15.205,99.194,15.935,93.529,17.737,73.016,16.492,83.98
3,7,2022,5,5am,26.917,55.287,21.984,65.592,17.308,97.9,18.981,91.453,17.222,96.02,16.407,93.7,19.538,99.292,23.442,63.761,30.564,36.63,17.694,97.46,26.016,67.082,20.482,87.228,21.769,67.546,18.08,98.999,18.723,95.433
3,7,2022,11,11am,20.396,97.582,22.927,81.954,21.855,86.569,16.879,99.048,21.469,92.869,20.782,87.399,18.766,99.487,17.222,98.901,22.112,69.621,18.766,99.389,20.825,94.237,19.238,98.584,23.657,76.337,21.898,88.645,20.911,91.331
3,7,2022,17,5pm,16.192,99.976,17.308,94.09,17.393,94.725,15.377,100,18.251,91.77,17.393,90.354,18.68,90.476,16.879,100,17.479,91.429,18.852,87.814,16.492,97.851,18.938,88.694,17.136,95.238,18.08,96.313,17.565,95.629
3,7,2022,23,11pm,15.806,100,15.163,100,15.12,100,13.961,100,13.79,100,15.034,100,14.09,100,13.275,100,16.149,100,13.918,100,15.677,100,14.219,100,15.334,100,15.291,100,14.862,100
4,7,2022,5,5am,27.818,54.457,29.105,54.212,33.438,40.244,26.874,80.147,21.126,82.686,25.716,66.252,29.491,64.835,28.976,87.668,24.129,62.002,27.947,58.388,34.811,37.582,27.218,60.366,24.644,62.32,27.561,64.86,27.604,58.657
4,7,2022,11,11am,30.135,36.947,33.653,29.573,30.478,36.703,35.626,33.089,34.253,29.231,33.052,31.99,30.607,45.446,37.042,29.89,30.478,34.896,32.323,31.917,27.99,43.736,32.709,39.902,37.557,24.811,34.768,33.065,29.792,41.563
4,7,2022,17,5pm,17.608,100,16.407,100,16.321,100,16.964,100,16.235,100,16.621,98.95,17.522,100,16.921,100,16.106,97.705,17.565,100,17.393,100,17.694,100,16.407,100,17.007,99.389,16.664,100
4,7,2022,23,11pm,16.664,100,16.021,100,15.549,100,14.948,100,15.634,100,15.291,100,16.492,100,14.047,100,13.318,100,16.664,100,16.664,100,16.578,100,16.106,100,16.192,100,15.42,100
5,7,2022,5,5am,29.92,55.263,35.626,36.581,27.947,49.621,23.743,93.455,30.521,53.529,23.7,66.227,21.34,100,21.083,92.869,34.167,32.869,27.604,60.708,35.454,43.028,21.512,82.247,33.824,36.972,29.105,57.363,26.746,55.873
5,7,2022,11,11am,21.984,89.817,26.317,72.821,24.043,82.125,19.109,98.095,17.565,98.755,18.337,96.386,19.281,99.389,18.208,95.971,18.852,98.559,20.225,96.654,24.686,86.593,19.281,97.949,27.775,77.363,27.089,72.698,25.759,76.801
5,7,2022,17,5pm,13.833,100,14.948,100,13.232,100,15.72,94.725,12.932,100,15.377,98.315,16.149,98.803,13.704,100,12.846,98.242,15.592,100,14.776,100,15.549,99.512,14.176,100,14.605,100,14.605,100
5,7,2022,23,11pm,14.605,100,14.09,100,14.776,100,14.519,99.683,11.516,100,14.262,100,12.76,100,14.262,100,10.701,100,13.06,100,14.691,100,12.889,100,13.446,100,14.776,100,14.39,100
6,7,2022,5,5am,35.583,45.983,39.659,28.107,38.543,29.841,38.243,35.336,29.363,50.403,33.352,42.589,32.752,57.46,38.758,35.14,36.012,32.381,33.266,46.276,39.573,36.63,38.972,40.928,38.2,32.381,39.702,37.485,39.53,31.062
6,7,2022,11,11am,28.547,53.333,21.254,64.591,22.67,63.346,26.617,59.609,31.765,40.952,29.405,49.304,23.614,92.918,26.402,58.413,17.179,95.751,29.363,52.21,28.333,55.58,24.729,90.598,21.469,63.639,24.601,60.049,23.399,64.591
6,7,2022,17,5pm,17.479,100,16.964,100,16.921,100,16.964,100,16.621,100,16.836,100,17.436,100,16.836,100,16.836,100,17.737,100,17.222,100,17.694,100,17.007,100,17.436,100,17.093,100
6,7,2022,23,11pm,15.634,100,12.674,100,13.704,100,13.489,100,14.347,100,15.248,100,14.39,100,13.489,100,14.262,100,14.09,100,15.334,100,14.133,100,13.275,100,15.12,98.95,16.106,100
7,7,2022,5,5am,32.795,45.836,34.21,38.657,33.352,37.363,31.722,45.836,29.963,53.455,26.703,61.123,29.749,57.338,34.897,37.094,32.108,41.099,28.505,56.484,33.052,44.762,32.065,48.62,33.567,40.269,30.435,72.405,32.709,40.83
7,7,2022,11,11am,31.55,44.762,34.253,35.287,30.564,41.294,31.121,46.227,41.332,27.033,30.735,43.004,30.349,51.819,33.181,39.78,33.266,32.43,30.564,48.767,35.24,36.899,30.993,54.017,34.082,36.85,31.808,45.812,30.778,46.52
7,7,2022,17,5pm,17.007,98.193,16.021,97.607,15.763,100,19.281,97.387,16.192,97.705,17.651,89.133,20.911,81.954,19.624,89.939,22.112,77.949,20.825,74.847,16.664,96.874,19.238,93.162,16.321,93.675,16.535,100,16.192,100
7,7,2022,23,11pm,15.849,100,14.476,100,15.549,98.266,14.948,100,15.72,97.973,16.063,91.77,15.42,100,14.734,100,15.935,88.767,15.935,98.291,15.72,100,16.235,100,14.948,100,16.149,100,16.021,97.045
8,7,2022,5,5am,36.699,42.149,36.355,39.78,42.233,27.863,33.352,51.477,32.28,54.799,32.666,45.006,36.87,48.303,38.543,43.956,37.685,32.405,39.187,33.651,37.428,36.215,35.926,48.425,39.916,34.408,36.441,71.282,38.972,32.381
8,7,2022,11,11am,36.312,38.632,38.028,32.479,33.695,36.557,34.468,44.664,45.15,26.203,35.326,39.609,34.425,50.72,34.897,36.288,38.457,25.495,35.454,34.505,39.444,30.256,34.596,47.619,39.315,30.256,33.481,42.906,32.451,43.663
8,7,2022,17,5pm,17.136,100,16.879,100,16.664,100,17.265,97.411,16.149,99.927,16.879,91.111,17.308,97.265,16.664,99.487,16.75,97.509,17.779,91.429,16.921,100,17.136,99.512,17.522,100,17.737,100,17.093,99.365
8,7,2022,23,11pm,16.921,100,16.063,99.853,15.634,100,16.149,100,14.905,100,15.634,100,16.621,100,16.321,100,14.519,100,16.879,100,16.45,100,16.964,100,15.892,99.414,16.149,98.803,16.235,100
9,7,2022,5,5am,33.781,43.419,36.441,31.6,36.184,32.625,30.135,51.526,30.135,44.664,30.778,45.665,32.408,50.965,34.811,35.946,36.098,29.328,32.923,46.032,37.128,37.729,31.851,50.256,39.187,33.455,33.352,58.852,36.613,36.264
9,7,2022,11,11am,34.039,37.265,38.286,29.475,33.781,32.747,33.095,42.54,43.005,27.375,34.982,33.089,33.009,48.23,37.299,36.142,43.348,15.556,34.21,37.216,34.982,37.509,33.91,51.306,42.576,24.322,32.537,42.979,36.098,32.845
9,7,2022,17,5pm,16.063,100,16.106,99.78,15.72,100,15.677,100,15.592,100,15.849,99.976,16.407,100,15.677,100,16.235,100,16.879,99.194,15.935,100,16.921,100,16.578,100,17.393,97.998,16.063,100
9,7,2022,23,11pm,15.377,100,15.377,98.926,14.819,100,14.39,100,14.691,100,15.077,99.341,13.918,100,14.819,100,12.546,100,14.519,100,14.862,100,14.648,100,15.334,98.95,15.334,95.8,14.948,100
10,7,2022,5,5am,36.913,32.039,31.508,31.429,31.422,31.404,28.333,39.17,26.488,42.979,28.547,48.449,32.666,40.781,36.355,29.426,28.934,36.874,29.32,43.37,34.94,35.238,34.94,38.828,30.65,37.216,27.303,65.495,31.808,35.458
10,7,2022,11,11am,25.845,42.515,24.944,38.926,27.818,34.115,25.287,45.885,24.172,42.1,22.799,45.446,25.073,47.204,26.402,39.512,25.03,44.054,25.459,40.147,27.175,37.485,25.073,49.182,24.601,37.949,28.805,42.466,28.976,34.505
10,7,2022,17,5pm,13.489,100,11.645,97.656,11.216,95.336,13.103,89.817,13.575,82.027,16.879,61.88,14.347,91.99,15.935,70.989,12.031,95.043,14.991,91.868,13.79,94.945,14.691,89.841,11.816,98.559,14.219,89.573,14.219,82.442
10,7,2022,23,11pm,12.374,100,10.486,99.976,10.744,99.438,10.744,100,9.414,100,13.79,74.335,10.787,100,11.301,93.602,8.213,100,10.572,100,12.031,100,10.744,100,9.628,100,11.988,100,12.159,99.438
11,7,2022,5,5am,34.811,27.57,36.699,27.595,27.647,33.26,29.448,39.512,31.164,37.68,29.234,34.994,34.124,38.266,38.028,24.737,29.834,34.212,33.781,26.422,35.111,28.01,33.567,35.238,40.431,26.374,27.389,44.127,28.419,32.552
11,7,2022,11,11am,30.864,33.138,32.795,28.962,31.979,27.448,31.293,31.795,34.425,26.032,34.253,25.079,31.036,39.756,36.012,21.612,31.937,23.321,31.979,25.006,34.854,26.154,32.837,35.263,39.015,17.778,34.639,31.551,39.358,20.464
11,7,2022,17,5pm,14.39,100,11.988,100,12.374,91.551,18.595,56.899,12.546,94.774,16.364,83.59,13.146,100,13.361,89.817,14.562,82.711,16.45,87.424,14.519,90.134,15.72,99.805,12.46,99.341,14.948,91.062,12.717,99.609
11,7,2022,23,11pm,12.245,100,10.272,100,11.173,94.261,12.288,82.491,10.1,95.263,13.961,79.463,9.156,100,11.859,98.926,8.727,100,10.701,100,12.374,98.51,11.087,100,10.1,100,12.503,96.337,12.117,100
12,7,2022,5,5am,36.441,25.031,37.599,25.934,38.071,21.416,32.923,33.626,32.709,33.944,33.052,28.425,36.227,41.783,38.972,24.371,35.798,29.011,37.471,24.982,42.747,19.585,33.395,39.316,41.847,19.805,38.071,26.52,39.144,21.856
12,7,2022,11,11am,34.296,26.007,35.326,23.272,33.224,24.298,34.082,28.596,42.447,20.342,34.811,23.907,32.108,36.386,37.299,23.785,35.669,21.49,34.511,23.956,39.53,19.829,33.438,34.896,41.718,17.46,35.283,24.567,38.972,21.001
12,7,2022,17,5pm,23.271,46.081,19.624,60.513,18.552,63.004,22.498,54.286,17.694,67.375,22.027,46.935,23.828,47.937,23.657,43.272,20.997,57.289,23.056,47.839,23.228,45.861,23.356,51.38,19.667,60.415,18.552,65.226,18.895,63.565
12,7,2022,23,11pm,17.308,79.756,12.288,100,13.275,94.603,19.024,64.811,16.535,73.236,15.634,76.972,16.278,77.705,18.552,61.685,14.519,85.91,16.021,77.778,17.136,75.336,13.918,95.629,13.103,99.536,15.806,82.955,17.308,71.062
13,7,2022,5,5am,39.744,29.768,41.932,22.198,43.777,20.684,34.94,36.581,35.154,37.192,35.798,33.968,34.082,45.958,37.128,31.306,37.471,26.838,38.586,27.766,42.79,22.759,37.299,39.609,48.754,18.388,43.391,26.471,45.193,21.685
13,7,2022,11,11am,30.778,51.087,30.435,62.564,29.105,52.65,41.418,30.842,33.738,35.092,34.167,29.426,35.626,45.446,42.705,23.101,39.873,23.175,39.273,25.006,31.937,45.299,35.883,39.414,32.151,47.839,31.937,41.905,30.306,40.977
13,7,2022,17,5pm,21.555,68.4,19.796,67.79,20.568,62.1,20.782,74.53,20.439,64.664,20.311,63.858,21.726,70.916,22.327,58.388,23.399,52.576,22.241,65.031,21.855,64.762,21.383,77.241,18.166,73.7,21.297,60.317,19.281,70.281
13,7,2022,23,11pm,15.806,98.437,15.763,90.867,17.694,78.266,16.106,91.062,16.707,83.199,18.723,74.725,16.578,93.26,20.096,69.621,15.806,91.966,16.535,90.476,16.45,92.112,14.648,100,15.634,91.429,17.994,78.584,17.05,83.858
14,7,2022,5,5am,36.441,25.031,38.586,23.712,40.774,19.683,34.382,34.994,32.366,33.407,38.415,21.514,37.514,33.26,42.233,29.377,35.025,30.379,37.471,23.175,39.959,20.342,38.157,36.337,39.873,22.369,42.705,20.611,43.434,20.147
14,7,2022,11,11am,36.613,25.177,37.943,20.049,35.583,19.853,37.128,30.33,38.629,20.659,39.53,18.095,35.54,35.067,38.929,25.446,37.042,19.389,37.557,19.414,46.008,14.896,35.926,32.576,43.477,15.14,41.418,16.63,40.002,18.51
14,7,2022,17,5pm,17.608,75.165,11.645,96.606,15.592,73.724,22.927,44.615,16.235,68.987,21.555,44.64,16.75,80.879,19.839,49.939,17.522,63.223,19.581,66.471,20.611,52.576,17.865,82.637,13.446,80.806,18.938,58.73,16.535,72.869
14,7,2022,23,11pm,17.35,86.178,14.176,92.625,17.779,71.917,18.166,69.915,17.908,73.407,19.495,58.755,12.288,100,17.694,77.949,11.559,93.944,14.219,88.547,18.423,77.802,12.932,100,14.776,86.911,18.938,66.593,18.637,70.623
15,7,2022,5,5am,37.514,29.719,42.876,21.05,43.262,20.781,35.54,37.656,38.028,30.574,35.454,30.696,33.996,45.69,29.963,48.694,38.543,25.397,40.131,26.935,41.203,25.201,34.811,44.347,48.024,17.582,44.935,21.245,45.364,19.731
15,7,2022,11,11am,30.864,36.63,37.9,23.394,36.656,22.173,29.749,38.926,32.408,30.354,33.438,24.298,30.178,42.1,28.376,39.756,31.422,27.155,31.765,31.355,31.508,32.186,29.019,44.615,36.656,21.538,37.213,21.123,38.5,23.175
15,7,2022,17,5pm,17.737,75.043,13.918,82.515,19.024,63.297,21.683,54.847,17.05,70.549,19.024,59.609,17.222,79.56,21.941,52.869,24.214,45.299,19.538,64.737,17.136,75.165,17.308,86.056,16.578,70.183,18.852,59.902,17.908,66.447
15,7,2022,23,11pm,14.648,96.044,11.044,100,12.331,94.774,15.549,84.933,11.559,95.385,17.393,65.958,14.133,99.463,17.908,70.549,14.562,88.791,14.219,88.523,15.549,87.302,13.747,100,11.816,94.847,16.492,72.015,15.42,81.563
16,7,2022,5,5am,41.847,20.195,41.46,18.193,43.863,14.847,34.682,34.164,35.454,21.612,37.514,19.829,40.431,33.797,43.391,22.295,38.157,18.168,42.747,21.319,46.094,18.291,37.17,40.952,45.965,13.7,46.351,15.482,42.233,18.168
16,7,2022,11,11am,38.715,15.824,39.401,16.386,38.543,13.675,37.599,23.468,40.56,14.383,38.844,13.578,36.87,29.573,41.074,16.361,39.744,14.359,38.929,15.385,41.117,12.674,37.428,27.204,47.424,9.67,41.975,12.381,41.975,14.286
16,7,2022,17,5pm,17.608,61.514,13.661,71.013,16.235,52.234,23.485,33.016,14.648,60.44,21.297,41.612,15.592,85.91,17.265,53.724,17.007,58.657,18.123,56.288,16.535,62.711,15.978,89.06,15.077,61.294,18.766,46.032,17.007,56.459
16,7,2022,23,11pm,14.004,91.648,11.173,91.282,13.876,69.011,18.852,53.748,13.06,68.962,18.723,43.834,11.902,100,17.651,59.145,9.414,91.648,14.047,80.537,15.377,74.945,12.717,100,11.73,79.56,16.836,54.408,17.222,54.847
17,7,2022,5,5am,44.506,19.658,45.622,15.287,47.681,12.991,38.929,26.74,39.101,21.685,39.358,20.44,41.074,29.304,43.305,22.711,42.49,16.825,43.863,18.437,48.067,15.873,37.943,36.752,51.07,11.233,47.509,13.602,44.421,17.143
17,7,2022,11,11am,37.986,17.485,41.46,17.192,42.833,13.895,42.233,22.589,41.632,18.803,41.289,15.433,36.999,27.106,44.592,18.95,45.021,11.99,39.315,18.535,38.329,17.802,34.725,32.869,45.15,12.454,42.533,12.723,41.074,16.654
17,7,2022,17,5pm,24.214,45.372,19.41,82.344,23.871,45.763,26.231,35.531,24.558,49.255,26.36,44.054,20.654,70.427,24.172,41.734,27.175,35.946,26.874,35.531,23.142,48.425,21.555,67.375,20.396,72.503,24.601,45.153,24.729,47.179
17,7,2022,23,11pm,15.806,89.011,18.552,89.499,19.581,83.907,21.169,67.79,19.281,78.926,21.64,70.818,15.077,93.162,17.994,67.741,21.083,81.197,16.063,76.581,16.578,82.784,13.833,96.801,19.753,83.614,21.04,74.139,20.954,80.879
18,7,2022,5,5am,38.929,26.838,38.543,30.989,39.959,25.958,37.256,32.821,26.102,58.12,26.145,62.369,34.382,39.853,40.388,26.838,35.411,34.31,33.481,34.212,39.83,24.64,33.867,40.171,41.632,25.446,43.863,25.592,39.315,28.669
18,7,2022,11,11am,24.987,56.557,25.587,52.137,24.601,42.198,23.185,75.458,21.383,67.009,23.785,56.874,25.931,63.492,24.944,66.081,24.214,99.316,23.185,83.956,23.185,62.857,24.815,72.576,28.462,44.078,23.871,48.767,25.973,41.807
18,7,2022,17,5pm,17.093,51.893,15.549,56.679,14.991,55.824,15.248,70.403,16.321,46.129,16.879,42.784,14.433,59.145,15.806,51.941,15.849,59.731,16.621,54.53,16.621,54.359,15.12,64.371,15.978,57.021,15.849,62.418,15.806,54.017
18,7,2022,23,11pm,15.634,84.103,15.592,84.005,16.578,76.044,15.334,84.786,14.519,85.983,15.935,74.115,17.179,74.603,15.334,82.442,14.09,89.206,16.45,79.829,15.034,85.25,17.007,78.657,15.463,84.371,16.021,78.779,16.535,75.995
19,7,2022,5,5am,28.805,40.952,32.923,29.963,35.497,24.982,27.432,44.2,26.66,40.855,27.647,37.143,29.577,38.364,32.28,31.575,29.706,39.219,29.148,36.215,33.138,30.354,31.937,38.926,34.124,28.449,35.626,25.495,34.468,27.888
19,7,2022,11,11am,34.682,25.446,35.411,22.125,35.969,20.391,33.309,29.377,34.897,21.148,34.382,23.907,33.395,28.498,35.926,22.589,35.411,21.221,33.266,23.736,37.471,20.049,33.953,30.11,38.972,16.581,39.23,17.924,38.629,20.293
19,7,2022,17,5pm,15.463,81.27,13.532,81.368,13.918,74.652,20.782,52.405,18.766,53.773,20.268,53.138,15.034,85.275,18.938,55.8,17.007,70.501,17.05,73.895,18.337,60.244,15.42,85.153,15.892,68.767,17.35,58.315,19.882,48.327
19,7,2022,23,11pm,14.991,79.438,20.096,47.692,14.133,68.132,13.103,78.95,18.294,53.407,20.568,44.127,14.605,71.404,16.879,56.166,13.747,85.201,14.347,78.071,14.605,72.503,12.546,88.816,20.74,44.86,18.68,49.548,19.281,48.156
20,7,2022,5,5am,30.821,39.707,36.527,25.25,38.286,22.637,32.623,37.143,28.805,38.339,30.178,35.629,30.778,41.514,36.699,28.059,31.293,29.182,32.88,32.161,34.639,28.571,34.854,36.386,36.27,22.271,39.616,22.076,35.54,28.156
20,7,2022,11,11am,35.454,25.714,34.553,22.613,35.411,20.147,32.795,31.795,32.537,25.739,37.213,21.832,34.468,29.573,40.946,20.928,36.913,18.852,34.553,22.711,39.058,18.657,34.253,32.186,40.216,16.215,38.457,16.484,40.517,17.924
20,7,2022,17,5pm,14.605,85.91,11.902,88.181,14.133,71.746,21.211,47.912,14.605,72.796,19.71,51.453,14.605,83.565,16.235,69.744,17.05,68.669,17.951,62.076,16.45,68.278,15.334,84.737,13.532,70.794,17.694,55.067,16.75,60
20,7,2022,23,11pm,15.163,80.659,12.631,87.399,16.879,59.243,16.836,66.935,15.377,69.841,17.35,59.853,12.288,94.921,17.007,74.554,8.813,100,12.245,87.253,14.991,79.487,10.872,98.437,13.318,77.314,17.05,58.339,19.796,51.38
21,7,2022,5,5am,34.425,25.934,39.358,17.68,42.49,13.797,33.653,32.063,31.164,23.687,37.642,20.317,34.639,29.158,40.302,20.44,36.741,18.974,35.54,22.271,39.53,18.388,40.345,26.129,42.318,14.017,45.064,15.482,45.493,15.189
21,7,2022,11,11am,33.867,17.387,36.484,16.117,34.339,17.924,37.042,22.955,35.969,14.896,36.527,16.068,35.583,25.275,38.801,16.068,37.17,14.701,36.312,15.897,37.599,13.04,36.098,23.834,40.431,11.404,36.57,15.849,36.57,18.144
21,7,2022,17,5pm,13.275,77.436,11.344,78.046,13.704,67.961,21.984,36.142,14.347,58.315,19.324,48.132,13.189,78.51,20.01,39.243,15.163,47.717,17.265,55.311,15.892,53.7,13.833,81.221,11.344,70.403,17.436,49.475,15.978,57.314
21,7,2022,23,11pm,10.83,90.379,8.813,90.403,12.674,62.711,18.037,48.596,10.872,73.162,14.862,56.947,8.384,98.803,14.991,82.686,10.83,77.802,10.701,79.121,12.417,75.849,8.856,97.021,8.685,84.151,13.575,57.631,11.988,66.374
22,7,2022,5,5am,40.989,14.847,40.645,12.796,43.906,10.11,35.626,21.856,35.111,15.458,37.771,14.774,40.302,19.976,43.048,13.211,38.028,16.068,37.685,17.265,42.447,12.552,37.771,26.618,43.477,10.061,45.922,10.183,42.747,11.233
22,7,2022,11,11am,34.167,20.244,33.481,18.73,35.154,17.192,35.883,19.756,36.999,17.216,36.184,17.363,35.669,19.096,39.187,13.724,37.9,16.19,35.798,14.53,37.128,16.19,35.755,21.514,35.411,14.945,36.57,15.311,37.128,15.702
22,7,2022,17,5pm,16.793,94.286,17.865,74.603,16.492,85.714,19.281,84.274,18.208,76.313,19.238,75.336,18.68,92.112,19.152,79.902,17.222,91.111,21.297,68.205,16.364,96.996,20.74,77.216,17.779,74.921,18.595,77.705,17.05,99.683
22,7,2022,23,11pm,12.374,100,10.186,100,10.186,100,13.232,99.438,11.816,97.021,14.691,81.538,11.087,100,12.932,100,9.843,99.756,13.489,95.531,12.074,100,13.146,100,10.186,97.411,14.347,78.071,14.004,84.298
23,7,2022,5,5am,32.451,28.23,35.926,20.024,38.715,18.755,34.811,29.524,27.518,33.016,33.052,26.398,31.293,38.046,38.886,23.468,30.135,28.864,32.323,28.449,36.227,25.324,32.494,36.972,36.527,19.072,42.276,18.12,40.345,20.684
23,7,2022,11,11am,34.382,23.834,30.993,24.518,31.422,23.492,36.57,25.69,38.586,18.413,33.738,22.808,31.851,30.647,37.557,21.734,30.006,26.96,33.009,21.978,40.56,16.215,31.422,35.751,35.669,17.534,37.428,16.777,36.484,21.832
23,7,2022,17,5pm,16.407,60.83,12.159,70.012,15.549,59.927,17.651,60.635,15.248,60.611,19.41,47.546,18.809,55.189,15.248,65.397,13.961,68.474,16.836,57.656,19.581,47.399,18.509,59.023,14.047,62.393,17.694,48.913,16.793,57.485
23,7,2022,23,11pm,10.744,92.552,6.797,99.634,8.298,97.167,13.189,78.022,6.883,94.286,12.674,72.918,9.457,97.998,11.259,86.545,7.784,95.336,12.46,76.679,10.658,86.105,9.714,96.972,8.556,85.91,12.76,61.661,10.572,79.365
24,7,2022,5,5am,38.715,21.221,38.071,20.635,39.744,18.657,31.808,32.552,36.098,23.956,33.481,26.886,32.752,32.21,37.342,24.811,34.339,22.125,33.61,26.276,39.616,19.658,34.897,37.729,38.157,19.976,42.962,18.266,41.289,19.487
24,7,2022,11,11am,35.111,21.832,36.441,19.096,34.082,20.733,36.699,25.055,44.077,12.967,34.854,20.928,33.138,29.353,36.355,21.49,37.771,15.873,34.811,20.928,39.144,16.581,33.567,33.993,37.943,16.264,36.355,18.193,37.17,20.708
24,7,2022,17,5pm,20.311,49.768,19.667,48.303,18.294,51.038,22.112,48.132,19.538,48.23,21.04,45.397,21.34,49.524,22.284,42.882,20.182,48.303,22.498,42.418,19.367,51.99,21.812,51.77,19.624,47.668,19.839,44.762,20.225,47.619
24,7,2022,23,11pm,15.377,74.481,10.272,81.294,14.519,66.325,12.717,88.718,14.133,70.427,16.578,60.073,13.446,85.25,13.146,83.81,11.816,80.586,12.975,77.656,13.661,78.926,10.572,94.408,11.216,75.116,15.677,58.681,17.994,55.018
25,7,2022,5,5am,40.345,19.927,36.613,21.368,36.398,21.538,34.253,32.869,37.771,21.343,35.154,22.93,35.969,29.28,39.358,22.271,29.105,30.989,38.157,22.637,43.648,17.118,34.296,36.19,35.197,21.807,36.956,20.195,32.752,27.643
25,7,2022,11,11am,28.247,36.679,31.079,28.816,29.877,29.89,27.689,41.172,29.877,32.039,31.293,31.453,29.706,37.753,32.108,32.625,28.976,32.943,30.521,31.917,29.834,31.917,29.663,40,31.937,26.838,33.867,23.956,29.234,33.431
25,7,2022,17,5pm,11.516,89.988,10.057,97.387,11.559,91.526,14.691,85.201,14.133,81.661,15.978,75.018,13.876,84.86,14.948,79.829,12.889,88.352,16.149,69.548,13.103,77.973,14.562,83.761,10.486,87.937,16.278,63.516,14.133,81.416
25,7,2022,23,11pm,11.859,98.144,10.529,100,11.43,95.385,12.245,97.143,13.833,83.59,14.176,78.608,10.958,100,12.374,92.112,11.43,96.264,15.248,77.607,12.159,92.063,11.001,96.557,11.13,94.31,14.047,75.385,13.876,82.857
26,7,2022,5,5am,28.934,37.192,34.94,26.691,35.841,25.324,30.006,38.242,28.762,38.388,31.465,33.162,31.293,35.116,36.441,27.082,28.676,34.042,31.465,31.429,35.798,25.519,28.805,44.298,30.392,31.38,39.273,21.465,37.685,24.811
26,7,2022,11,11am,29.963,28.742,30.65,26.252,29.277,27.277,27.99,35.36,30.607,25.665,30.435,28.327,34.124,27.009,38.929,18.535,30.564,25.177,30.521,26.764,33.567,23.419,30.65,34.823,31.636,23.419,30.821,25.104,31.079,28.718
26,7,2022,17,5pm,15.806,67.302,11.902,67.863,16.235,60,18.895,55.824,19.152,51.184,21.169,43.932,17.737,60.659,19.195,49.988,13.017,69.133,18.68,50.647,17.479,55.946,17.951,64.762,13.704,60.586,18.981,46.911,18.766,53.26
26,7,2022,23,11pm,11.43,82.466,8.298,99.096,9.285,92.405,13.918,72.357,12.503,78.486,16.964,57.07,14.691,69.426,14.305,66.3,8.556,90.354,11.988,73.089,12.546,72.479,13.618,75.824,7.998,85.275,13.618,62.173,14.347,69.719
27,7,2022,5,5am,30.478,25.495,33.653,20.171,34.21,19.414,31.679,28.962,27.346,28.449,31.593,25.299,29.963,30.672,39.702,17.778,29.963,21.905,32.58,22.393,34.639,20.269,29.834,35.336,32.28,20.22,40.302,16.581,35.411,22.515
27,7,2022,11,11am,31.036,17.705,34.682,13.504,32.237,14.505,33.438,19.414,32.795,13.211,33.567,13.968,31.079,20.806,38.629,11.526,33.352,14.701,31.55,15.067,34.768,13.7,30.993,24.713,38.672,10.696,34.897,13.407,36.398,14.481
27,7,2022,17,5pm,12.331,56.508,7.784,72.063,10.143,58.291,17.265,42.735,10.872,54.75,18.509,35.189,12.76,60.855,16.106,42.027,9.071,61.978,14.905,44.347,14.819,44.518,13.404,62.662,8.513,65.079,15.463,40.269,14.519,45.592
27,7,2022,23,11pm,6.497,87.399,6.711,83.297,7.569,74.676,13.747,53.748,13.232,54.066,12.674,53.138,5.982,93.871,14.347,52.332,7.14,84.86,8.427,60.269,9.886,66.593,6.196,91.722,8.298,72.112,10.915,55.726,8.727,64.518
28,7,2022,5,5am,38.286,13.04,39.315,12.796,40.517,11.013,38.286,18.51,35.969,14.75,33.224,16.41,35.111,19.365,40.56,14.652,35.583,16.288,38.071,14.188,40.517,14.408,36.527,25.495,38.028,12.967,42.49,11.087,39.058,14.799
28,7,2022,11,11am,36.184,15.385,35.54,13.919,36.227,13.968,38.157,19.341,40.216,12.43,37.085,14.286,35.025,18.95,37.428,14.676,36.699,13.407,35.883,13.7,38.715,13.748,32.837,27.448,41.031,10.94,39.358,12.454,39.23,14.75
28,7,2022,17,5pm,13.79,59.389,11.816,56.484,15.205,47.326,20.654,40.293,18.251,41.343,19.495,37.07,22.885,33.895,20.954,33.065,14.734,50.134,18.38,43.443,16.192,49.744,20.139,43.468,11.988,50.72,17.222,37.338,16.921,43.736
