label,trt,site,yr,month,mo,day,plot,type,g_m2,plot_perc
ungrazed1_June_woody,ungrazed,ungrazed_1,2022,June,6,9,5,woody,0,0
ungrazed1_June_litter,ungrazed,ungrazed_1,2022,June,6,9,5,litter,447,76.67238422
ungrazed2_June_grass,ungrazed,ungrazed_2,2022,June,6,16,1,grass,52,24.76190476
ungrazed2_June_forb,ungrazed,ungrazed_2,2022,June,6,16,1,forb,37,17.61904762
ungrazed2_June_woody,ungrazed,ungrazed_2,2022,June,6,16,1,woody,9,4.285714286
ungrazed2_June_litter,ungrazed,ungrazed_2,2022,June,6,16,1,litter,112,53.33333333
ungrazed2_June_grass,ungrazed,ungrazed_2,2022,June,6,16,2,grass,15,12.82051282
ungrazed2_June_forb,ungrazed,ungrazed_2,2022,June,6,16,2,forb,55,47.00854701
ungrazed2_June_woody,ungrazed,ungrazed_2,2022,June,6,16,2,woody,0,0
ungrazed2_June_litter,ungrazed,ungrazed_2,2022,June,6,16,2,litter,47,40.17094017
ungrazed2_June_grass,ungrazed,ungrazed_2,2022,June,6,16,3,grass,27,37.5
ungrazed2_June_forb,ungrazed,ungrazed_2,2022,June,6,16,3,forb,9,12.5
ungrazed2_June_woody,ungrazed,ungrazed_2,2022,June,6,16,3,woody,0,0
ungrazed2_June_litter,ungrazed,ungrazed_2,2022,June,6,16,3,litter,36,50
ungrazed2_June_grass,ungrazed,ungrazed_2,2022,June,6,16,4,grass,85,24.56647399
ungrazed2_June_forb,ungrazed,ungrazed_2,2022,June,6,16,4,forb,16,4.624277457
ungrazed2_June_woody,ungrazed,ungrazed_2,2022,June,6,16,4,woody,0,0
ungrazed2_June_litter,ungrazed,ungrazed_2,2022,June,6,16,4,litter,245,70.80924855
ungrazed2_June_grass,ungrazed,ungrazed_2,2022,June,6,16,5,grass,77,19.64285714
ungrazed2_June_forb,ungrazed,ungrazed_2,2022,June,6,16,5,forb,71,18.1122449
ungrazed2_June_woody,ungrazed,ungrazed_2,2022,June,6,16,5,woody,0,0
ungrazed2_June_litter,ungrazed,ungrazed_2,2022,June,6,16,5,litter,244,62.24489796
ungrazed3_June_grass,ungrazed,ungrazed_3,2022,June,6,17,1,grass,23,23.95833333
ungrazed3_June_forb,ungrazed,ungrazed_3,2022,June,6,17,1,forb,4,4.166666667
ungrazed3_June_woody,ungrazed,ungrazed_3,2022,June,6,17,1,woody,0,0
ungrazed3_June_litter,ungrazed,ungrazed_3,2022,June,6,17,1,litter,69,71.875
ungrazed3_June_grass,ungrazed,ungrazed_3,2022,June,6,17,2,grass,51,35.14817367
ungrazed3_June_forb,ungrazed,ungrazed_3,2022,June,6,17,2,forb,0.1,0.068917988
ungrazed3_June_woody,ungrazed,ungrazed_3,2022,June,6,17,2,woody,18,12.40523777
ungrazed3_June_litter,ungrazed,ungrazed_3,2022,June,6,17,2,litter,76,52.37767057
ungrazed3_June_grass,ungrazed,ungrazed_3,2022,June,6,17,3,grass,14,18.91891892
ungrazed3_June_forb,ungrazed,ungrazed_3,2022,June,6,17,3,forb,4,5.405405405
ungrazed3_June_woody,ungrazed,ungrazed_3,2022,June,6,17,3,woody,0,0
ungrazed3_June_litter,ungrazed,ungrazed_3,2022,June,6,17,3,litter,56,75.67567568
ungrazed3_June_grass,ungrazed,ungrazed_3,2022,June,6,17,4,grass,31,20.59800664
ungrazed3_June_forb,ungrazed,ungrazed_3,2022,June,6,17,4,forb,0.5,0.332225914
ungrazed3_June_woody,ungrazed,ungrazed_3,2022,June,6,17,4,woody,8,5.315614618
ungrazed3_June_litter,ungrazed,ungrazed_3,2022,June,6,17,4,litter,111,73.75415282
ungrazed3_June_grass,ungrazed,ungrazed_3,2022,June,6,17,5,grass,28,14.81481481
ungrazed3_June_forb,ungrazed,ungrazed_3,2022,June,6,17,5,forb,4,2.116402116
ungrazed3_June_woody,ungrazed,ungrazed_3,2022,June,6,17,5,woody,0,0
ungrazed3_June_litter,ungrazed,ungrazed_3,2022,June,6,17,5,litter,157,83.06878307
cattle1_June_grass,cattle,cattle_1,2022,June,6,16,1,grass,32,42.66666667
cattle1_June_forb,cattle,cattle_1,2022,June,6,16,1,forb,8,10.66666667
cattle1_June_woody,cattle,cattle_1,2022,June,6,16,1,woody,13,17.33333333
cattle1_June_litter,cattle,cattle_1,2022,June,6,16,1,litter,22,29.33333333
cattle1_June_grass,cattle,cattle_1,2022,June,6,16,2,grass,23,11.38613861
cattle1_June_forb,cattle,cattle_1,2022,June,6,16,2,forb,5,2.475247525
cattle1_June_woody,cattle,cattle_1,2022,June,6,16,2,woody,0,0
cattle1_June_litter,cattle,cattle_1,2022,June,6,16,2,litter,174,86.13861386
cattle1_June_grass,cattle,cattle_1,2022,June,6,16,3,grass,33,41.7721519
cattle1_June_forb,cattle,cattle_1,2022,June,6,16,3,forb,0,0
cattle1_June_woody,cattle,cattle_1,2022,June,6,16,3,woody,0,0
cattle1_June_litter,cattle,cattle_1,2022,June,6,16,3,litter,46,58.2278481
cattle1_June_grass,cattle,cattle_1,2022,June,6,16,4,grass,25,10.91703057
cattle1_June_forb,cattle,cattle_1,2022,June,6,16,4,forb,15,6.550218341
cattle1_June_woody,cattle,cattle_1,2022,June,6,16,4,woody,0,0
cattle1_June_litter,cattle,cattle_1,2022,June,6,16,4,litter,189,82.53275109
cattle1_June_grass,cattle,cattle_1,2022,June,6,16,5,grass,39,21.7877095
cattle1_June_forb,cattle,cattle_1,2022,June,6,16,5,forb,28,15.6424581
cattle1_June_woody,cattle,cattle_1,2022,June,6,16,5,woody,11,6.145251397
cattle1_June_litter,cattle,cattle_1,2022,June,6,16,5,litter,101,56.42458101
cattle2_June_grass,cattle,cattle_2,2022,June,6,10,1,grass,213,28.9009498
cattle2_June_forb,cattle,cattle_2,2022,June,6,10,1,forb,0,0
cattle2_June_woody,cattle,cattle_2,2022,June,6,10,1,woody,0,0
cattle2_June_litter,cattle,cattle_2,2022,June,6,10,1,litter,524,71.0990502
cattle2_June_grass,cattle,cattle_2,2022,June,6,10,2,grass,31,27.67857143
cattle2_June_forb,cattle,cattle_2,2022,June,6,10,2,forb,9,8.035714286
cattle2_June_woody,cattle,cattle_2,2022,June,6,10,2,woody,20,17.85714286
cattle2_June_litter,cattle,cattle_2,2022,June,6,10,2,litter,52,46.42857143
cattle2_June_grass,cattle,cattle_2,2022,June,6,10,3,grass,118,31.80592992
cattle2_June_forb,cattle,cattle_2,2022,June,6,10,3,forb,26,7.008086253
cattle2_June_woody,cattle,cattle_2,2022,June,6,10,3,woody,0,0
cattle2_June_litter,cattle,cattle_2,2022,June,6,10,3,litter,227,61.18598383
cattle2_June_grass,cattle,cattle_2,2022,June,6,10,4,grass,50,32.05128205
cattle2_June_forb,cattle,cattle_2,2022,June,6,10,4,forb,0,0
cattle2_June_woody,cattle,cattle_2,2022,June,6,10,4,woody,0,0
cattle2_June_litter,cattle,cattle_2,2022,June,6,10,4,litter,106,67.94871795
cattle2_June_grass,cattle,cattle_2,2022,June,6,10,5,grass,58,42.96296296
cattle2_June_forb,cattle,cattle_2,2022,June,6,10,5,forb,9,6.666666667
cattle2_June_woody,cattle,cattle_2,2022,June,6,10,5,woody,0,0
cattle2_June_litter,cattle,cattle_2,2022,June,6,10,5,litter,68,50.37037037
cattle3_June_grass,cattle,cattle_3,2022,June,6,17,1,grass,11,8.870967742
cattle3_June_forb,cattle,cattle_3,2022,June,6,17,1,forb,70,56.4516129
cattle3_June_woody,cattle,cattle_3,2022,June,6,17,1,woody,0,0
cattle3_June_litter,cattle,cattle_3,2022,June,6,17,1,litter,43,34.67741935
cattle3_June_grass,cattle,cattle_3,2022,June,6,17,2,grass,12,14.45783133
cattle3_June_forb,cattle,cattle_3,2022,June,6,17,2,forb,45,54.21686747
cattle3_June_woody,cattle,cattle_3,2022,June,6,17,2,woody,0,0
cattle3_June_litter,cattle,cattle_3,2022,June,6,17,2,litter,26,31.3253012
cattle3_June_grass,cattle,cattle_3,2022,June,6,17,3,grass,61,39.86928105
cattle3_June_forb,cattle,cattle_3,2022,June,6,17,3,forb,5,3.267973856
cattle3_June_woody,cattle,cattle_3,2022,June,6,17,3,woody,0,0
cattle3_June_litter,cattle,cattle_3,2022,June,6,17,3,litter,87,56.8627451
cattle3_June_grass,cattle,cattle_3,2022,June,6,17,4,grass,7,9.210526316
cattle3_June_forb,cattle,cattle_3,2022,June,6,17,4,forb,38,50
cattle3_June_woody,cattle,cattle_3,2022,June,6,17,4,woody,3,3.947368421
