"","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"percC",0.331145901953314,0.912934765218777,0.232818232485122,-0.016657464853649,-0.000239839845255423,-0.0179484599710384,-0.0457001184148717
"percN",0.317143905827158,0.92179524282268,0.215994924348334,-0.0145641227390899,0.0251628483450213,-0.0106849114191579,0.0458259317624928
"Ca_ppm",-0.707403819338427,0.00553854162492042,0.319153572270327,-0.600889753758948,-0.18486446786108,0.04946096046114,0.000635601585466024
"K_ppm",-0.841950339721298,0.311701546067761,-0.273596559365891,0.076610829940943,-0.0963053103620406,-0.322432310668039,0.000409016386196672
"Mg_ppm",-0.818927332654246,0.0814948821427746,0.202238742945958,0.0378029469598206,0.527766173343338,0.0429776734209254,-0.00167986040612563
"Na_ppm",-0.744115976910259,0.0771644122267895,0.366434486436676,0.461087780812,-0.270921294381679,0.141641225049547,0.000554567723377099
"P_ppm",-0.397146303981089,0.514025892576029,-0.725440598643828,-0.0594905006595351,-0.0273106898709164,0.217949447809491,-0.00108516563361671
