"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"percC",-0.475830775785346,0.679102767711736,-0.438818371254997,8.03154964990914e-06,-0.103758133970514,-0.309670331176368,0.114557964273313,-0.00761243272631813
"percN",-0.91221560921875,-0.275369758734195,0.242473682785978,0.00752951025727259,-0.113628528833085,-0.0976405061201111,-0.0815242117750263,0.0639741338208187
"Ca_ppm",0.416656951292579,-0.556129219425587,-0.141259383179342,-0.69363929639704,-0.00306206786378016,-0.125617994584011,0.014147348045124,0.00617941086593512
"K_ppm",-0.862210340417195,-0.378499385046527,-0.0450392143396768,-0.0712093512471386,0.175900131865498,0.156968413754512,0.22504275149115,0.00283946439958907
"Mg_ppm",0.0862460708037586,-0.840346955973597,-0.322259345065087,0.21417253623984,-0.36272120627103,0.0471707330413955,0.0517576401791556,-0.0136763754097686
"Na_ppm",-0.783187428513943,-0.252959574195305,0.541135276445331,-0.0979304058489602,-0.0386845709307002,-0.105694326607126,-0.0630862818819447,-0.0596949593401809
"P_ppm",-0.472603268787089,-0.418892969703925,-0.720191522966609,0.0972701514270394,0.216771960315111,-0.0297628676067844,-0.158202156856394,-0.0115622079090254
"Si_ppm",0.546694069539501,-0.633440008553683,0.262756645579349,0.338919614071841,0.189039657448047,-0.27374223115033,0.0725140672572441,0.00653445802708708
