"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"percC",-0.186210921169423,0.073182382061694,0.875827234709361,-0.422880006810731,0.0764927596549207,-0.0872060008430864,0.00526944931867339,-0.0241907134109069
"percN",0.840232066322728,-0.407551378869128,0.144464190816525,0.0213280006519154,-0.150864674513596,-0.147110596089206,0.219853341973342,0.117685992327749
"Ca_ppm",0.451815309675184,0.611044955779804,-0.269916323536896,-0.13010870841219,0.532656301858158,-0.21919383262,0.0106728618712655,0.0286584733444788
"K_ppm",0.92049473817987,-0.143953127944687,0.151872405480657,0.261879423366228,0.0445564680902102,-0.095252344046074,0.0602555242073562,-0.160099525035379
"Mg_ppm",0.641684169619132,0.630340049731613,0.0599114438131285,-0.122156055579547,-0.0456308836666116,0.389375986771857,0.136768142087896,-6.19765983659868e-05
"Na_ppm",0.220747782566335,0.799301138935845,0.105678055891314,0.132626440424678,-0.480671071601296,-0.196974466755397,-0.116337043655808,0.0158919550947964
"P_ppm",0.851189165384918,-0.246618117436246,0.259956377402015,0.115620322215179,0.153021974416113,0.128649853293445,-0.300098027545999,0.0607107591681857
"Si_ppm",-0.57688002783209,0.274772537342636,0.449287084322415,0.569000495441783,0.234943304013094,0.0377848927743733,0.0878419591535114,0.0417944284363345
