"","site","bison_dens","cattle_dens","PD_pres","insecticide","month","Temp_past20dayMean","Temp_samplingday","soil_PC1_posOther","soil_PC2_posCN","w_C","w_N","w_Ca","w_K","w_Mg","w_Na","w_P","w_Si","f_C","f_N","f_Ca","f_K","f_Mg","f_Na","f_P","f_Si","g_C","g_N","g_Ca","g_K","g_Mg","g_Na","g_P","g_Si","grass_PC1","forb_PC1","g_per_m2_est","g_per_m2_SE","trt","ghop_m2_est","ghop_m2_SE","g_m2_woody.mean","g_m2_woody.se","perc_woody.mean","perc_woody.se","g_m2_forb.mean","g_m2_forb.se","perc_forb.mean","perc_forb.se","g_m2_grass.mean","g_m2_grass.se","perc_grass.mean","perc_grass.se"
"11","bison_3",0.012613,0.000000,0,0,8,26.34716,22.31600, 1.46062155, 0.29088837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.79,0.71,1691.5698, 3985.930, 918.4302,1265, 763.9535, 691.04651,-2.02151081,NA,217.0680,10.077915,"bison", 7.0000000, 1.4503270,  0.000000,  0.000000, 0.0000000, 0.0000000,  0.06000000,  0.06000000, 0.02549936, 0.02549936, 85.0000000, 26.9016728,28.764727461, 7.684451036
"12","bison_3",0.012613,0.000000,0,0,9,25.08431,28.82625, 0.08285898,-0.76246462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.59,0.75,2227.2046, 3803.631, 975.3314,1271, 765.1297, 798.27089,-1.89473865,NA,194.1709, 5.748376,"bison",10.0000000, 1.4383899,  0.000000,  0.000000, 0.0000000, 0.0000000,  0.54200000,  0.37291286, 0.72914979, 0.58638097, 44.5400000,  4.5499011,39.354743020, 8.954508571
"13","cattle_1",0.000000,0.024984,0,0,7,22.33654,27.13175,-0.15485777,-0.66188734,40.82,0.97,14212.258, 4681.871,1507.9355, 1363, 841.5484,  63.54839,40.42,1.10, 5465.305,28264.756,1425.7927,1293,2128.6585, 243.23171,44.69,1.13,2581.7629, 5708.693, 783.5866,1280,1092.4620, 119.14894,-0.57998475,-0.16580800,195.5178, 9.764907,"cattle",12.3333333, 1.8372476, 11.400000,  4.965884,11.4949148, 3.1135744, 35.00000000, 12.79062156,23.56977998, 4.67261428, 41.2000000,  8.1080207,35.394918336, 6.170925048
"14","cattle_1",0.000000,0.024984,0,0,6,NA,22.52000,-0.66346615,-0.80572011,43.44,0.84,12424.688, 6082.000,1105.3750, 1377, 839.5625,  57.12500,43.91,1.79, 7340.000,10492.875,2095.0000,1373,1027.1250,  30.87500,45.07,1.35,2217.6875,11067.375, 864.0000,1367,1164.3125,  70.37500, 0.33097208,-1.14482479,167.2333, 5.724256,"cattle", 8.6666667, 1.6423514,  4.800000,  2.956349, 4.6957169, 3.3760907, 11.20000000,  4.85180379, 7.06691813, 2.80882382, 30.4000000,  2.8913665,25.705939450, 7.017515580
"15","cattle_1",0.000000,0.024984,0,0,8,25.74606,28.72975, 3.71015356, 0.20970083,NA,NA,NA,NA,NA,NA,NA,NA,48.39,1.14, 4290.852, 9128.896,1385.4259,1388,1134.7634, 218.99054,45.41,0.88,2486.3462, 7251.218,1033.6538,1463,1030.8333, 944.87179,-0.90349521,-2.30166948,180.3654,12.121955,"cattle",13.0000000, 2.2565358,  1.700000,  1.577973, 1.3388939, 1.2424396, 89.00000000, 50.29612311,43.45997072,11.95272076, 30.2000000,  8.7829380,24.339345419, 8.189629117
"16","cattle_1",0.000000,0.024984,0,0,9,26.09242,27.72150,-0.73689594,-1.12370996,NA,NA,NA,NA,NA,NA,NA,NA,47.84,1.02, 2524.630,12745.309, 795.2469,1378, 982.7160,1194.38272,45.12,0.66,2171.0098, 6709.577, 896.0261,1415, 746.9707,1011.20521,-1.71726733,-2.98474939,168.5801, 9.764907,"cattle", 4.3333333, 0.9201866,  0.000000,  0.000000, 0.0000000, 0.0000000,  3.38000000,  2.46767097, 5.14639945, 3.61001024, 11.0800000,  4.8372926,20.313416450, 7.376868657
"17","cattle_2",0.000000,0.029740,0,0,7,20.86397,23.02400,-3.00844148,-1.23377759,NA,NA,NA,NA,NA,NA,NA,NA,44.20,1.67, 4274.667,11081.739,2552.4058,1247, 868.5217,  48.69565,44.43,0.93,2382.3899, 8328.050, 945.2201,1318,1007.7987,  91.19497,-0.38498301,-1.43273315,241.6486, 7.491439,"cattle", 5.3333333, 1.3333332,  0.000000,  0.000000, 0.0000000, 0.0000000, 29.90000000, 15.70222914,18.39256296, 8.49819686, 62.6000000, 16.1573513,37.571781440, 5.533602959
"18","cattle_2",0.000000,0.029740,0,0,6,NA,20.08525,-1.21761310,-0.74087687,46.92,1.16, 4967.375, 4825.562,1495.8125, 1361, 784.9375,  85.56250,44.89,1.89, 7799.000,18673.438,2552.7500,1357,1873.9375,  30.68750,44.72,1.39,2017.0000,11118.562, 726.4375,1350,1434.1250,  70.37500, 0.46624760,-0.14792818,256.8010,17.172768,"cattle", 3.3333333, 0.9980825,  4.000000,  4.000000, 3.5714286, 3.5714286,  8.80000000,  4.74763099, 4.34209344, 1.78691836, 94.0000000, 33.1194807,32.679939232, 2.703646798
"19","cattle_2",0.000000,0.029740,0,0,8,25.59960,19.35600,-1.29522977,-1.59361120,NA,NA,NA,NA,NA,NA,NA,NA,41.57,1.17, 9557.859,12691.070,4310.1529,1375,1025.3823, 206.60550,46.17,0.99,2193.3333, 9311.402,1063.9875,1359,1013.0218,1029.90654,-0.85206190,-0.43679797,214.3742,10.438349,"cattle", 7.6666667, 1.6666667,  0.000000,  0.000000, 0.0000000, 0.0000000,  9.42000000,  6.34558114,18.10319590,15.17264363, 39.4000000, 10.3469802,33.627181583,12.771841942
"20","cattle_2",0.000000,0.029740,0,0,9,24.90565,25.00800,-1.13763506,-0.95556145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.27,1.03,4688.7926,11055.232,2474.4892,2031,1097.4613, 242.84830, 2.62907565,NA,221.1086,13.132135,"cattle", 9.6666667, 2.3333336,  0.000000,  0.000000, 0.0000000, 0.0000000,  1.02000000,  0.65757129, 2.99683380, 2.64195384, 87.5600000, 35.9116778,53.135573444, 4.718848658
"21","cattle_3",0.000000,0.026300,0,0,8,27.16124,26.19875, 2.80768513,-0.23318203,NA,NA,NA,NA,NA,NA,NA,NA,48.01,1.38, 4622.680, 8730.131,1749.6078,1425,1328.3660, 401.30719,43.48,0.98,1586.9909, 8599.635, 830.0304,1322,1275.6839,1228.14590,-1.07101833,-1.99643429,146.6933, 3.807544,"cattle",18.6666667, 2.6666665,  0.000000,  0.000000, 0.0000000, 0.0000000, 22.60000000,  9.16296895,66.66512926,18.11233848,  3.5000000,  1.9429359,15.560484687, 9.284156981
"22","cattle_3",0.000000,0.026300,0,0,6,NA,24.53625,-1.52440189,-0.57291394,NA,NA,NA,NA,NA,NA,NA,NA,46.99,1.48, 4234.125,10855.938,1606.7500,1348,1376.1875,  30.06250,44.97,1.65,2185.1875,10730.000,1061.5000,1355,1507.7500,  69.50000, 1.08147965,-1.67063953,126.1533, 4.377371,"cattle",11.3333333, 2.6666670,  0.600000,  0.600000, 0.7894737, 0.7894737, 36.40000000, 10.82866566,44.49460792,10.40339879, 20.4000000, 10.1862653,19.847574946, 5.967808655
"23","cattle_3",0.000000,0.026300,0,0,7,21.02475,17.91900,-0.58643664,-0.85843960,NA,NA,NA,NA,NA,NA,NA,NA,40.10,1.15, 4586.938, 9284.188,1538.8750,1367,1385.3125,  34.31250,43.89,1.25,2231.9429, 6833.886, 961.3143,1188,1302.5143,  85.08571,-0.08125239,-1.27709316,147.0300, 8.418023,"cattle",21.0000000, 6.3333334,  0.000000,  0.000000, 0.0000000, 0.0000000, 19.20000000, 10.10643359,27.93901376,12.27932716, 17.8000000,  3.6249138,33.861310022,10.678297579
