"","site","bison_dens","cattle_dens","PD_pres","insecticide","month","Temp_past20dayMean","Temp_samplingday","soil_PC1_posOther","soil_PC2_posCN","w_C","w_N","w_Ca","w_K","w_Mg","w_Na","w_P","w_Si","f_C","f_N","f_Ca","f_K","f_Mg","f_Na","f_P","f_Si","g_C","g_N","g_Ca","g_K","g_Mg","g_Na","g_P","g_Si","grass_PC1","forb_PC1","g_per_m2_est","g_per_m2_SE","trt","ghop_m2_est","ghop_m2_SE","g_m2_woody.mean","g_m2_woody.se","perc_woody.mean","perc_woody.se","g_m2_forb.mean","g_m2_forb.se","perc_forb.mean","perc_forb.se","g_m2_grass.mean","g_m2_grass.se","perc_grass.mean","perc_grass.se"
"46","ungrazed_3",0.000000,0.000000,0,0,9,24.28689,25.27625, 0.23437504, 0.09473240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.09,1.23,1989.8462, 5110.154, 707.2615,1359, 856.4923, 808.49231,-1.51233092,NA,207.6398, 8.153626,"ungrazed", 2.6666667, 2.0000000,  1.880000,  1.880000, 1.0129310, 1.0129310,  0.00000000,  0.00000000, 0.00000000, 0.00000000, 19.4600000,  4.8154543, 8.393226904, 1.903463785
"47","ungrazed_3",0.000000,0.000000,0,0,7,21.33481,21.26500,-2.02510385,-0.36710299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.08,1.01,1951.1111, 6650.784, 580.3922,1429, 968.3007, 859.54248,-1.43180032,NA,249.3932,34.682259,"ungrazed", 1.0000000, 0.5570860,  0.000000,  0.000000, 0.0000000, 0.0000000,  1.30000000,  0.70000000, 0.73503085, 0.46275525, 55.8000000, 17.9482590,32.966091768, 6.220239609
"48","ungrazed_3",0.000000,0.000000,0,0,8,24.82368,29.07275,-1.46573350,-0.05717420,48.21,1.43, 5210.029,12272.092,1511.6905, 1354,1395.3582, 159.94269,NA,NA,NA,NA,NA,NA,NA,NA,41.20,1.14,2651.1111, 7981.802, 860.0000,1334, 963.7838, 809.66967,-0.64238366,NA,212.6906,13.468836,"ungrazed", 4.0000000, 0.9097177,  6.200000,  6.200000, 2.3484848, 2.3484848,  0.30000000,  0.12247449, 0.74869548, 0.32901570,  8.6000000,  1.2884099,17.193732686, 4.702402819
"49","untrtpd_1",0.017616,0.000000,1,0,6,NA,20.28900,-0.39329832, 5.29167901,NA,NA,NA,NA,NA,NA,NA,NA,41.94,2.78,13338.750,34772.438,3464.1250,1393,2921.6250,  31.25000,44.67,3.39,4177.6250,33566.500,1989.8125,1368,3506.3750,  64.81250, 8.27715881, 2.48896357,160.4988,13.132116,"untrtpd",10.3333333, 4.3333337,  0.000000,  0.000000, 0.0000000, 0.0000000,  6.60000000,  4.40000000, 8.27336332, 6.18171967, 57.4000000, 13.2423563,31.343355330, 6.951790247
"50","untrtpd_1",0.017616,0.000000,1,0,7,22.96560,28.16125,-2.89441977, 2.59719243,NA,NA,NA,NA,NA,NA,NA,NA,39.66,3.63, 2693.500,10046.062, 546.8750,1364, 779.3750, 364.37500,45.23,2.45,2800.0625,20083.812,1032.0000,1361,1429.5625, 103.93750, 2.70892177,-1.05329669,161.5090,13.468842,"untrtpd", 8.6666667, 2.6666667,  0.000000,  0.000000, 0.0000000, 0.0000000,  8.20000000,  3.92937654,12.00349515, 6.75640024, 74.2000000, 25.4978430,60.933723620,16.351725284
"51","untrtpd_1",0.017616,0.000000,1,0,8,26.79549,21.75850,-4.18968802, 5.27492672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.21,1.72,1804.8077,10906.859, 901.2179,1401,1264.8718, 860.12821, 0.10927022,NA,142.9894, 9.091467,"untrtpd", 7.3333333, 1.4330526,  0.000000,  0.000000, 0.0000000, 0.0000000,  0.00000000,  0.00000000, 0.00000000, 0.00000000, 17.6000000,  4.8020829,26.670686000, 6.855819784
"52","untrtpd_1",0.017616,0.000000,1,0,9,24.56416,23.36725, 0.55824493, 4.61135795,NA,NA,NA,NA,NA,NA,NA,NA,43.40,2.49,12103.438,24915.562,4069.1875,1366,1641.4375, 282.75000,NA,NA,NA,NA,NA,NA,NA,NA,NA, 0.96891250,131.5408,10.438349,"untrtpd", 1.6666667, 0.6920457,  0.000000,  0.000000, 0.0000000, 0.0000000,  5.04000000,  3.17089893, 6.13905274, 4.11524750,  0.0000000,  0.0000000, 0.000000000, 0.000000000
"53","untrtpd_2",0.012613,0.000000,1,0,6,NA,12.87800, 0.15377642,-0.98379026,42.13,0.96, 6410.812, 6315.500,1210.3750, 1419, 730.3125,  50.62500,38.52,1.59, 6646.188,18592.500,1642.6875,1376,1349.8125,  35.06250,45.00,2.16,2739.2500,12780.625, 703.5000,1385,1031.6250,  90.37500, 1.02660134,-0.42338183,126.8268, 2.728852,"untrtpd", 5.3333333, 2.6666670, 23.000000, 20.823064,14.6495836, 9.6115014, 31.40000000,  9.83158176,60.50064438,15.08027625,  5.8000000,  0.6633250,15.571934920, 7.050261515
"54","untrtpd_2",0.012613,0.000000,1,0,7,22.12951,24.21475, 1.26061691,-0.50530643,NA,NA,NA,NA,NA,NA,NA,NA,44.12,1.59, 3958.812, 9572.625,1705.6250,1348,1115.8750,  40.12500,44.12,1.58,7036.8125,13945.500,1553.9375,1372,1240.4375,  45.93750, 2.66143446,-1.59501640,145.0097, 4.377373,"untrtpd",10.6666667, 1.7242912,  1.600000,  1.600000, 2.0915033, 2.0915033, 58.40000000, 23.35080298,55.36276434,11.85771848, 33.3000000, 18.2781290,27.271369477,11.319834983
"55","untrtpd_2",0.012613,0.000000,1,0,8,28.50992,24.70800,-1.18206251,-0.88143173,NA,NA,NA,NA,NA,NA,NA,NA,46.59,1.38, 5379.267,12901.467,1584.9333,1457,1174.3333, 408.40000,44.22,1.07,2774.4051,10900.643, 834.0836,1400, 851.3183,1294.14791,-0.93723589,-1.80175442,147.7035, 7.744583,"untrtpd",10.3333333, 1.6666666,  0.000000,  0.000000, 0.0000000, 0.0000000, 81.00000000, 13.21362933,87.87343250, 3.53591628,  2.3400000,  1.3017680, 2.817599398, 1.877604332
"56","untrtpd_2",0.012613,0.000000,1,0,9,25.72192,28.33275,-0.75402662,-0.41710906,19.22,0.61,13001.661, 4865.431,2198.2109, 1408, 801.0224,1877.57189,45.67,1.37, 5242.222, 9662.286,1569.8413,1400,1017.1429, 616.31746,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.07132776,138.6120, 3.099767,"untrtpd",16.6666667, 8.0000000,  4.360000,  4.360000, 2.1898543, 2.1898543, 78.52000000, 26.80830841,55.35579219,11.43602151,  0.0000000,  0.0000000, 0.000000000, 0.000000000
"57","untrtpd_3",0.012613,0.000000,1,0,6,NA,13.57500,-0.43062248, 0.27132680,43.07,1.15, 5156.938,11009.688,1938.7500, 1431, 931.1250,  60.56250,43.46,2.22, 7073.688,17142.625,2246.7500,1405,1658.4375,  34.06250,43.50,1.71,2513.8750,11937.438, 835.6250,1415,1018.6875, 134.93750, 0.69475974,-0.21108524,167.5700,36.365919,"untrtpd",17.0000000, 5.6666667,  7.100000,  5.025933, 5.5185076, 3.1179282, 13.50000000,  7.44311763,14.08674996, 8.19253516, 25.0000000,  3.6742346,36.872497506, 8.836090593
"58","untrtpd_3",0.012613,0.000000,1,0,7,22.30542,24.03200, 0.27556117,-0.39892240,NA,NA,NA,NA,NA,NA,NA,NA,44.97,1.52, 5017.438,12399.625,2205.3750,1360,1290.1875,  34.50000,38.75,1.34,2057.0625, 7508.812, 585.1875,1344, 693.1250, 119.87500,-0.57623219,-1.25287084,157.8051, 8.418023,"untrtpd",40.6666667,14.6666669,  0.100000,  0.100000, 0.0896861, 0.0896861, 16.50000000, 10.23962890,21.82008139,12.45542741, 29.8000000,  5.1224994,52.940112068,13.071519791
"59","untrtpd_3",0.012613,0.000000,1,0,8,28.02726,22.92750, 2.70413142, 0.35092393,NA,NA,NA,NA,NA,NA,NA,NA,35.97,1.09, 5599.495, 6672.744,1685.4259,1422,1015.9621,1394.44795,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.76010797,159.8254,23.907186,"untrtpd",15.0000000, 3.0000027,  0.000000,  0.000000, 0.0000000, 0.0000000, 11.90000000,  7.18052923,37.87442173,16.14107206,  1.4800000,  1.3810865,12.373552625,12.124626560
"60","untrtpd_3",0.012613,0.000000,1,0,9,25.97991,28.72975, 0.11339445, 0.43523438,NA,NA,NA,NA,NA,NA,NA,NA,41.01,0.80, 6144.282, 9611.496,1571.4370,1287, 866.1584, 468.21114,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.91891441,160.1621,22.223581,"untrtpd", 3.3333333, 0.9980825,  0.000000,  0.000000, 0.0000000, 0.0000000, 10.96000000,  9.55743689,13.13149700,10.24630510,  0.0000000,  0.0000000, 0.000000000, 0.000000000
