"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"percC",-0.61398479969609,0.527927222396788,-0.0712203567208245,0.375451057899642,-0.42677223658646,0.118133491799794,-0.0431910246501421,0.0180041408851039
"percN",0.8084208469394,0.330543080206528,0.15160995279334,-0.178861119625921,-0.0177115938289927,0.399823119158202,0.130538315353652,-0.070764747698278
"Ca_ppm",0.645626566172875,0.11665477161372,-0.720073180327437,-0.160748010718536,-0.047934776497971,0.0345225414967664,-0.144613540579559,0.0284617031548554
"K_ppm",0.922863028666344,-0.00714271115932584,0.240150157681409,0.0416205561777704,-0.0951595948024887,-0.0180963445859512,-0.0525136046918163,0.276998083421255
"Mg_ppm",0.849232828235236,-0.143219424162852,-0.170403457936854,0.260362569109958,-0.13205670746175,-0.175020866693238,0.333019907176519,-0.0499225177662312
"Na_ppm",0.449632387081864,-0.732522747462472,0.00288900447564937,0.434705789240023,0.0780931818498506,0.181046833492189,-0.172025184612454,-0.0615995639717838
"P_ppm",0.84223533289436,0.226438674659812,0.266116130065255,-0.093613207804683,-0.21509463500235,-0.203015984654912,-0.216604324881417,-0.159327705364483
"Si_ppm",-0.315287062779653,-0.788093336041422,0.0118602290773847,-0.325949062893893,-0.409937408388877,0.0572976816178815,0.0420278828479143,0.00463239070634049
