day,mo,yr,date,DOY,site,code,meanTempC,samplinogDate,past20dayMean
25,8,2022,8/25/2022,237,bison_1,bison_1-237,22.2625,no,
26,8,2022,8/26/2022,238,bison_1,bison_1-238,26.07,no,
27,8,2022,8/27/2022,239,bison_1,bison_1-239,26.156,no,
28,8,2022,8/28/2022,240,bison_1,bison_1-240,16.3315,no,
29,8,2022,8/29/2022,241,bison_1,bison_1-241,20.0745,no,
30,8,2022,8/30/2022,242,bison_1,bison_1-242,24.28975,no,
31,8,2022,8/31/2022,243,bison_1,bison_1-243,27.36775,no,
1,9,2022,9/1/2022,244,bison_1,bison_1-244,25.25475,no,
2,9,2022,9/2/2022,245,bison_1,bison_1-245,24.49325,no,
3,9,2022,9/3/2022,246,bison_1,bison_1-246,31.06775,no,24.1893125
9,6,2022,6/9/2022,160,bison_2,bison_2-160,NA,no,
10,6,2022,6/10/2022,161,bison_2,bison_2-161,NA,no,
11,6,2022,6/11/2022,162,bison_2,bison_2-162,NA,no,
12,6,2022,6/12/2022,163,bison_2,bison_2-163,NA,no,
13,6,2022,6/13/2022,164,bison_2,bison_2-164,NA,no,
14,6,2022,6/14/2022,165,bison_2,bison_2-165,12.32025,Y,
15,6,2022,6/15/2022,166,bison_2,bison_2-166,13.114,no,
16,6,2022,6/16/2022,167,bison_2,bison_2-167,21.06125,no,
17,6,2022,6/17/2022,168,bison_2,bison_2-168,28.601,no,
18,6,2022,6/18/2022,169,bison_2,bison_2-169,26.52025,no,
19,6,2022,6/19/2022,170,bison_2,bison_2-170,14.9375,no,
20,6,2022,6/20/2022,171,bison_2,bison_2-171,18.01525,no,
21,6,2022,6/21/2022,172,bison_2,bison_2-172,20.26775,no,
22,6,2022,6/22/2022,173,bison_2,bison_2-173,23.05625,no,
23,6,2022,6/23/2022,174,bison_2,bison_2-174,26.05925,no,
24,6,2022,6/24/2022,175,bison_2,bison_2-175,18.48725,no,
25,6,2022,6/25/2022,176,bison_2,bison_2-176,14.551,no,
26,6,2022,6/26/2022,177,bison_2,bison_2-177,20.718,no,
27,6,2022,6/27/2022,178,bison_2,bison_2-178,25.244,no,
28,6,2022,6/28/2022,179,bison_2,bison_2-179,25.61925,no,
29,6,2022,6/29/2022,180,bison_2,bison_2-180,23.09925,no,
30,6,2022,6/30/2022,181,bison_2,bison_2-181,19.34525,no,
1,7,2022,7/1/2022,182,bison_2,bison_2-182,24.74,no,
2,7,2022,7/2/2022,183,bison_2,bison_2-183,27.31425,no,
3,7,2022,7/3/2022,184,bison_2,bison_2-184,19.3455,no,
4,7,2022,7/4/2022,185,bison_2,bison_2-185,23.7965,no,
5,7,2022,7/5/2022,186,bison_2,bison_2-186,22.74525,no,
6,7,2022,7/6/2022,187,bison_2,bison_2-187,22.63775,no,
7,7,2022,7/7/2022,188,bison_2,bison_2-188,24.74,no,
8,7,2022,7/8/2022,189,bison_2,bison_2-189,26.83125,Y,22.061975
9,7,2022,7/9/2022,190,bison_2,bison_2-190,26.5525,no,
10,7,2022,7/10/2022,191,bison_2,bison_2-191,19.64575,no,
11,7,2022,7/11/2022,192,bison_2,bison_2-192,22.9385,no,
12,7,2022,7/12/2022,193,bison_2,bison_2-193,26.20925,no,
13,7,2022,7/13/2022,194,bison_2,bison_2-194,26.9815,no,
14,7,2022,7/14/2022,195,bison_2,bison_2-195,25.5875,no,
15,7,2022,7/15/2022,196,bison_2,bison_2-196,26.4345,no,
16,7,2022,7/16/2022,197,bison_2,bison_2-197,26.42375,no,
17,7,2022,7/17/2022,198,bison_2,bison_2-198,31.261,no,
18,7,2022,7/18/2022,199,bison_2,bison_2-199,23.81775,no,
19,7,2022,7/19/2022,200,bison_2,bison_2-200,25.4905,no,
20,7,2022,7/20/2022,201,bison_2,bison_2-201,23.90325,no,
21,7,2022,7/21/2022,202,bison_2,bison_2-202,23.99975,no,
22,7,2022,7/22/2022,203,bison_2,bison_2-203,25.54425,no,
23,7,2022,7/23/2022,204,bison_2,bison_2-204,21.46875,no,
24,7,2022,7/24/2022,205,bison_2,bison_2-205,26.11275,no,
25,7,2022,7/25/2022,206,bison_2,bison_2-206,22.0695,no,
26,7,2022,7/26/2022,207,bison_2,bison_2-207,21.4475,no,
27,7,2022,7/27/2022,208,bison_2,bison_2-208,20.7075,no,
28,7,2022,7/28/2022,209,bison_2,bison_2-209,23.04525,no,
29,7,2022,7/29/2022,210,bison_2,bison_2-210,29.148,no,
30,7,2022,7/30/2022,211,bison_2,bison_2-211,25.79125,no,
31,7,2022,7/31/2022,212,bison_2,bison_2-212,28.39725,no,
1,8,2022,8/1/2022,213,bison_2,bison_2-213,31.1,no,
2,8,2022,8/2/2022,214,bison_2,bison_2-214,20.78275,Y,25.436575
3,8,2022,8/3/2022,215,bison_2,bison_2-215,26.49875,no,
4,8,2022,8/4/2022,216,bison_2,bison_2-216,24.55775,no,
5,8,2022,8/5/2022,217,bison_2,bison_2-217,21.587,no,
6,8,2022,8/6/2022,218,bison_2,bison_2-218,16.1495,no,
7,8,2022,8/7/2022,219,bison_2,bison_2-219,25.802,no,
8,8,2022,8/8/2022,220,bison_2,bison_2-220,28.01125,no,
9,8,2022,8/9/2022,221,bison_2,bison_2-221,23.957,no,
