day,mo,yr,time,time2,bison_1_tempC,bison_2_tempC,bison_3_tempC,cattle_1_tempC,cattle_2_tempC,cattle_3_tempC,ungrazed_1_tempC,ungrazed_2_tempC,ungrazed_3_tempC,trtpd_1_tempC,trtpd_2_tempC,trtpd_3_tempC,untrtpd_1_tempC,untrtpd_2_tempC,untrtpd_3_tempC
20,6,2022,11,11am,27.003,23.657,22.327,22.327,28.161,23.957,25.673,27.604,25.845,24.472,26.445,25.63,29.448,24.3,22.498
20,6,2022,17,5pm,12.117,10.572,10.443,11.559,11.387,11.173,11.559,11.173,12.889,12.288,12.288,12.46,10.358,10.83,10.872
20,6,2022,23,11pm,12.503,12.717,12.546,11.559,11.688,11.173,11.988,11.559,13.532,12.245,12.159,12.46,12.245,12.074,12.631
21,6,2022,5,5am,21.812,27.604,24.386,17.822,20.525,19.453,18.509,26.102,22.413,19.581,22.327,17.737,28.976,21.64,25.115
21,6,2022,11,11am,28.462,29.062,30.607,27.904,29.491,28.29,25.587,33.695,27.818,26.96,31.894,26.66,34.854,30.821,27.218
21,6,2022,17,5pm,14.004,11.473,9.328,15.334,12.975,14.991,13.961,14.648,14.09,12.889,13.232,14.047,12.288,11.344,10.1
21,6,2022,23,11pm,13.189,12.932,12.374,12.588,10.229,11.516,8.513,12.46,10.615,9.886,11.344,9.886,13.575,15.248,16.106
22,6,2022,5,5am,36.184,30.821,34.339,31.079,27.175,28.848,35.154,36.098,31.937,34.811,34.94,31.55,31.465,29.234,34.425
22,6,2022,11,11am,32.709,34.768,33.181,34.253,36.956,33.695,33.781,35.326,32.58,33.395,40.131,34.468,40.388,34.682,33.653
22,6,2022,17,5pm,13.06,16.707,14.605,20.225,14.734,18.037,12.889,16.793,16.063,15.377,14.948,13.833,12.417,16.621,15.034
22,6,2022,23,11pm,13.404,9.929,13.232,12.503,10.443,15.291,11.387,12.846,9.199,10.272,12.031,10.315,9.886,13.232,16.578
23,6,2022,5,5am,37.728,40.259,38.929,35.755,31.679,33.481,36.913,39.187,34.639,35.755,42.276,40.088,52.443,33.61,38.844
23,6,2022,11,11am,21.469,39.401,30.735,26.488,37.299,29.191,26.102,31.593,34.639,25.373,23.957,25.587,42.361,27.689,27.561
23,6,2022,17,5pm,14.519,14.648,13.661,16.621,14.691,16.793,16.063,16.407,17.908,18.723,14.691,17.694,15.248,15.592,15.334
23,6,2022,23,11pm,11.859,9.929,11.216,11.73,11.216,13.017,11.902,11.559,9.457,12.588,12.031,12.46,10.83,11.73,11.988
24,6,2022,5,5am,21.512,29.234,25.33,20.997,20.525,22.198,20.654,23.056,22.541,20.568,21.34,19.066,31.937,23.185,22.67
24,6,2022,11,11am,19.066,24.172,19.109,28.247,20.096,19.41,25.459,29.277,22.799,23.013,18.68,28.161,26.317,19.924,19.152
24,6,2022,17,5pm,10.615,10.872,10.143,10.186,10.143,11.301,11.001,10.272,12.932,11.602,10.872,11.173,10.443,11.13,11.087
24,6,2022,23,11pm,10.787,9.671,11.087,7.998,8.985,7.312,7.44,7.398,8.813,8.513,8.813,7.955,8.556,10.401,12.546
25,6,2022,5,5am,20.654,24.729,27.775,20.611,20.225,21.984,22.67,28.762,21.598,24.558,23.957,21.855,36.098,24.429,25.287
25,6,2022,11,11am,22.927,26.831,23.743,25.33,26.445,23.528,23.056,28.118,25.416,22.541,25.544,24.343,29.963,25.973,23.271
25,6,2022,17,5pm,6.668,4.609,4.866,9.543,7.698,12.717,11.13,7.226,6.282,9.5,8.041,10.272,3.537,8.813,8.642
25,6,2022,23,11pm,7.912,2.035,7.269,7.097,4.781,8.985,5.038,5.767,2.378,4.652,7.269,4.437,1.477,7.44,9.414
26,6,2022,5,5am,31.207,32.752,32.366,29.706,28.247,27.99,33.567,34.425,31.465,33.095,34.982,29.577,42.533,31.894,39.573
26,6,2022,11,11am,29.663,34.296,29.148,31.379,40.817,32.366,29.534,33.438,31.465,30.006,35.669,29.62,39.702,31.207,32.494
26,6,2022,17,5pm,12.503,10.915,7.698,15.163,9.071,14.819,9.414,12.76,6.797,13.876,11.73,10.272,4.909,11.173,9.5
26,6,2022,23,11pm,9.114,4.909,7.955,13.146,10.529,9.585,4.051,11.859,3.794,6.153,10.186,5.939,5.21,9.671,11.516
27,6,2022,5,5am,31.593,38.629,37.771,34.94,27.089,31.979,31.422,40.517,32.366,32.795,37.428,33.309,51.242,35.068,38.929
27,6,2022,11,11am,30.907,38.586,33.266,36.956,40.731,35.54,31.765,40.946,34.639,33.095,39.315,32.88,43.091,35.841,34.082
27,6,2022,17,5pm,10.401,11.73,13.747,19.066,11.216,18.166,11.902,15.291,10.443,14.819,14.133,14.004,7.998,14.476,12.288
27,6,2022,23,11pm,11.001,12.031,11.773,16.836,12.803,12.546,6.497,16.063,8.127,7.869,11.301,7.869,8.77,12.202,15.034
28,6,2022,5,5am,34.982,34.553,33.009,30.006,28.29,29.749,31.25,36.398,31.465,30.607,35.068,32.194,42.19,36.57,35.197
28,6,2022,11,11am,30.306,31.979,33.224,33.395,37.557,33.61,32.623,34.21,33.052,32.837,31.808,34.21,32.065,35.54,35.111
28,6,2022,17,5pm,20.782,21.726,19.581,20.096,20.139,20.482,20.268,20.311,20.911,20.611,20.697,20.182,21.512,20.568,19.753
28,6,2022,23,11pm,15.935,14.219,15.677,15.163,13.146,16.75,13.06,14.262,10.958,14.347,15.677,13.833,13.876,16.578,19.238
29,6,2022,5,5am,27.389,39.616,28.848,25.287,27.732,28.676,33.824,32.537,24.214,31.379,27.99,35.411,38.2,31.851,36.913
29,6,2022,11,11am,29.191,33.095,30.135,33.052,33.309,30.006,32.623,33.996,31.679,31.722,29.92,32.623,33.052,32.709,31.079
29,6,2022,17,5pm,12.503,9.114,7.912,18.337,14.133,17.865,14.305,16.407,13.876,15.72,13.661,13.961,8.256,14.347,13.747
29,6,2022,23,11pm,13.06,10.572,11.602,10.915,9.242,11.473,8.813,12.117,7.655,13.618,12.202,10.014,10.83,12.202,11.945
30,6,2022,5,5am,26.36,34.596,33.224,29.105,24.3,28.547,28.118,35.24,29.834,29.663,31.894,30.564,31.722,33.052,33.181
